,Higher education [x],Vaccination [y]
1256,18.2,63.7
1257,29.6,42.5
1258,24.4,54.7
1259,12.8,40.2
1260,16.2,35.7
1261,14.9,31.4
1262,14.2,43.0
1263,24.4,67.0
1264,23.5,40.0
1265,20.0,49.7
1266,17.8,44.7
1267,19.8,57.7
1268,12.6,56.7
1269,24.8,38.8
1270,18.1,41.3
1271,39.8,67.1
1272,11.4,42.4
1273,27.8,60.9
1274,19.2,62.0
1275,18.2,54.8
1276,19.2,36.0
1277,24.3,80.0
1278,17.1,46.9
1279,15.0,45.6
1280,34.2,71.2
1281,17.1,37.4
1282,30.3,46.7
1283,23.2,57.9
1284,21.3,55.6
1285,27.6,61.6
1286,21.4,62.6
1287,17.0,40.4
1288,31.2,80.7
1289,39.5,76.0
1290,36.5,70.3
1291,16.0,45.4
1292,13.7,32.2
1293,18.4,59.3
1294,33.6,69.8
1295,28.1,44.7
1296,17.4,47.3
1297,17.0,50.2
1298,26.7,25.2
1299,13.9,56.0
1300,31.3,61.9
1301,18.1,39.4
1302,34.4,63.0
1303,20.5,49.6
1304,35.1,70.3
1305,32.1,48.3
1306,10.6,49.4
1307,20.3,60.0
1308,17.3,41.1
1309,31.2,70.5
1310,29.6,53.9
1311,8.2,35.1
1312,21.9,38.9
1313,27.1,45.8
1314,32.7,78.8
1315,19.7,59.0
1316,50.7,78.2
1317,10.2,58.4
1318,18.2,44.7
1319,20.5,51.2
1320,35.2,64.2
1321,14.2,59.6
1322,28.9,46.2
1323,24.6,52.6
1324,33.3,56.9
1325,17.9,39.7
1326,67.6,84.7
1327,15.3,43.7
1328,21.2,57.1
1329,18.4,37.1
1330,17.6,35.0
1331,21.7,56.2
1332,17.7,95.0
1333,23.6,52.5
1334,18.4,41.0
1335,16.2,49.4
1336,29.2,74.3
1337,15.9,18.0
1338,18.9,56.2
1339,11.7,43.2
1340,31.8,68.1
1341,12.9,30.9
1342,17.0,59.4
1343,36.0,56.7
1344,28.1,51.1
1345,20.2,84.7
1346,15.4,46.7
1347,16.8,44.2
1348,12.5,43.2
1349,26.3,60.1
1350,17.3,56.3
1351,38.7,65.0
1352,16.9,65.5
1353,12.6,42.4
